ID;Caption;Topic;SubtopicID;Subtopic;Direction;Visual Entities;Relations;Url;Image
001;Whitelee wind farm south of Glasgow. Onshore wind costs around €105 per megawatt hour when externalities are considered, according to Ecofys.;Sustainable Energy;01;Windmill;;;;http://www.theguardian.com/environment/2014/oct/13/wind-power-is-cheapest-energy-unpublished-eu-analysis-finds;
002;The Conservative UK government has announced a withdrawal of support for onshore windfarms. Denmark’s windfarms have strong government backing;Sustainable Energy;01;Windmill;;;;http://www.theguardian.com/environment/2015/jul/10/denmark-wind-windfarm-power-exceed-electricity-demand;
003;The manufacturer of the vast majority of the 100 turbines identified by IPPR is EWT, which denies it has de-rated machines.;Sustainable Energy;01;Windmill;;;;http://www.theguardian.com/environment/2015/feb/13/truth-behind-wind-turbines-subsidies-power-row;
004;The government plans to give communities the right to veto windfarms;Sustainable Energy;01;Windmill;;;;http://www.theguardian.com/environment/2015/jun/18/tories-end-onshore-windfarm-subsidies-2016;
005;The RSPB and the Campaign to Protect Rural England said the new turbine had the potential to open up more urban environments to the sector.;Sustainable Energy;01;Windmill;;;;http://www.theguardian.com/sustainable-business/2015/jun/01/can-bladeless-wind-turbines-mute-opposition;
006;The onshore wind industry employs 19,000 people and generates 5% of UK’s electricity needs.;Sustainable Energy;01;Windmill;Positive Effects;;;http://www.theguardian.com/environment/2015/jun/01/amber-rudd-dont-destroy-the-wind-power-industry;
007;Ararat windfarm will generate enough electricity to power the equivalent of 123,000 homes a year over its 25-year life span.;Sustainable Energy;01;Windmill;;;;http://www.theguardian.com/environment/2015/jun/26/deal-to-build-450m-windfarm-struck-after-renewable-energy-bill-passed;
008;15% of the UK’s electricity came from renewable sources in 2013, according to new analyses.;Sustainable Energy;01;Windmill;Positive Effects;;;http://www.theguardian.com/environment/2015/feb/20/uk-on-track-to-meet-its-renewable-energy-targets;
009;Wonthaggi wind farm in Wonthaggi, Victoria. The Abbott government has announced its Clean Energy Finance Corporation will no longer fund wind projects.;;01;Windmill;;;;http://www.theguardian.com/australia-news/2015/jul/12/coalition-bans-clean-energy-finance-corporation-wind-power-investment;
010;UK running out of money to pay for clean energy;;01;Windmill;;;;http://www.theguardian.com/environment/2015/jul/16/uk-running-out-of-money-to-pay-for-clean-energy;
011;Does the initiative mark a new dawn in American clean-energy investment? The Obama administration certainly hopes so.;;01;Windmill;;;;http://www.theguardian.com/environment/2015/jun/17/obama-clean-energy-investment-private-sector;
012;In the year to 30 June, the CEFC issued more than $900m in loans for clean energy projects, securing the annual abatement of at least 4.2m tonnes of carbon dioxide.;;01;Windmill;;;;http://www.theguardian.com/environment/2014/oct/31/clean-energy-finance-corporation-told-to-prepare-for-its-demise;
013;The European Union’s ambitious goal of achieving an 80 percent reduction in greenhouse gas (GHG) emissions below 1990 levels by 2050 has been met with much scepticism to date.;;01;Windmill;;;;http://ourworld.unu.edu/en/europes-roadmap-to-a-renewable-energy-future;
014;Following the Fukushima nuclear accident and the subsequent planned power outages affecting large parts of eastern Japan, there are some voices calling for a review of national energy policy and for a shift in focus to renewable energy.;;01;Windmill;;;;http://ourworld.unu.edu/en/can-japan-go-100-renewable-by-2050;
015;Cities around the world must take leadership in solving global environment problems. The reason is simple: cities cover just 2 percent of the world’s surface, yet they consume 75 percent of our global resources.;;01;Windmill;;;;http://ourworld.unu.edu/en/yokohama-an-environmentally-friendly-city;
001;The 46MW solar Farm in East Hanney near Abingdon in Oxfordshire was the UK’s largest when it connected to the grid in 2014.;;02;SolarPanel;;;;www.theguardian.com/environment/2015/apr/28/uk-installed-more-solar-power-than-any-other-european-country-in-2014;
002;Schools have plenty of roof space for solar panels;;02;SolarPanel;spread understanding of sustainability;;;http://www.theguardian.com/environment/2015/apr/05/solar-panels-school-energy;
003;Subsidies for roof-top solar panels could end earlier than expected after announcement of review into fee-in tariff.;;02;SolarPanel;subsidies;;;http://www.theguardian.com/environment/2015/jul/22/solar-power-subsidies-to-be-cut-under-plans-to-reduce-green-energy-costs;
004;The right to solar energy is an American issue – not a partisan issue;;02;SolarPanel;Big energy utilities are attacking solar energy;;;http://www.theguardian.com/commentisfree/2015/jul/24/-solar-energy-tea-party-beliefs-not-despite-them;
005;A solar panel on a roof in Guinea-Bissau. Sub-Saharan Africa has some of the world’s most abundant and least exploited renewable energy sources, especially solar power.;;02;SolarPanel;solar power for africa;;;http://www.theguardian.com/business/economics-blog/2015/jun/05/solar-power-africa-sun-electricity-crisis;
006;A new energy storage plant in Ireland will be able to match variable renewable energy supplies to consumer demand, say it’s designers;;02;SolarPanel;;;;http://www.theguardian.com/environment/2015/apr/08/new-energy-storage-plant-could-revolutionise-renewable-sector;
007;The installation ‘has to be seen as a long-term investment, something this government seems unable to contemplate’.;;02;SolarPanel;;;;http://www.theguardian.com/environment/2015/jul/28/solar-power-an-array-of-misconceptions;
008;Panel beaters: the government’s Fit cuts could reduce demand for solar.;;02;SolarPanel;;;;http://www.theguardian.com/money/2015/jul/22/how-solar-panel-subsidy-cuts-affect-you-installation;
009;Landmead 46MW solar farm in Abingdon, England supplies enough clean energy for about 14,000 homes. Building of new large farms such as this has flatlined following Tory cuts to subsidies.;;02;SolarPanel;;;;http://www.theguardian.com/environment/2015/jul/30/uk-solar-growth-stalls-following-government-subsidy-cuts;
010;Hundreds of businesses including eBay, Nestlé and General Mills have issued their support for Barack Obama’s clean power plan, billed as the strongest action ever on climate change by a US president.;;02;SolarPanel;;;;http://ourworld.unu.edu/en/obamas-clean-power-plan-hailed-as-uss-strongest-ever-climate-action;
011;While negotiators in Copenhagen map out our global climate destiny, visitors to the Eco-Products expo at the Tokyo Big Site can get a glimpse of the future of Japan and perhaps the world. That future is solar.;;02;SolarPanel;;;;http://ourworld.unu.edu/en/here-comes-the-sun;
012;Renewable energy will make up almost half of sub-Saharan Africa’s power generation growth by 2040, according to a report by the International Energy Agency.;;02;SolarPanel;;;;http://ourworld.unu.edu/en/renewable-energy-in-africa-is-set-to-surge-by-2040-iea-says;
013;While negotiators in Copenhagen map out our global climate destiny, visitors to the Eco-Products expo at the Tokyo Big Site can get a glimpse of the future of Japan and perhaps the world. That future is solar.;;02;SolarPanel;;;;http://ourworld.unu.edu/en/here-comes-the-sun;
014;Can UK's solar industry survive without subsidies?;;02;SolarPanel;;;;http://www.theguardian.com/environment/2015/jul/21/can-uks-solar-industry-survive-without-subsidies;
015;The new initiative hopes to spur further investment in renewable energy sources such as solar panels.;;02;SolarPanel;;;;http://www.theguardian.com/environment/2015/jun/16/obama-administration-clean-energy-investment-initiative;
016;EERE plays a key role in advancing America's booming solar industry, leading a large network of researchers and other partners to deliver innovative technologies that will make renewable electricity generation cost-competitive with traditional sources of energy.;;02;SolarPanel;;;;http://energy.gov/eere/renewables/solar;
017;Columbia, Md. Now 100 Percent Renewable with Latest Solar Farm from SunEdison;;02;SolarPanel;;;;http://www.pvsolarreport.com/columbia-maryland-renewable/;
001;Orphaned orangutans in Borneo. Rickina and Rocky’s mothers were probably killed by poachers.;;03;OrangUtan;;;;http://www.theguardian.com/science/blog/2014/aug/19/international-orangutan-day-endangered-primates-sumatra-borneo;
002;The orangutan's natural habitat has become fragmented by the encroachment of agriculture.;;03;OrangUtan;;;;http://www.theguardian.com/environment/2013/sep/30/david-attenborough-orangutan-from-extinction;
003;A Bornean orangutan carries her young. Between 750 and 1,800 orangutan were killed in Kalimantan in the 12 months up to April 2008.;;03;OrangUtan;;;;http://www.theguardian.com/environment/2011/nov/27/orangutan-indonesia-endangered-species;
004;The orangutans of Sumatra are endangered due to the loss of their rainforest habitat.;;03;OrangUtan;;;;http://www.theguardian.com/environment/2013/oct/08/sick-orangutans-sanctuary-endangered-sumatra;
005;An endangered Sumatran orangutan in the forest of Bukit Lawang, in Indonesia’s Sumatra island, one of the key sites identified as at risk;;03;OrangUtan;;;;http://www.theguardian.com/environment/2015/apr/28/hundreds-of-millions-of-acres-of-worlds-forest-could-be-lost-by-2030-say-wwf;
006;The orangutan's natural habitat has become fragmented by the encroachment of agriculture.;;03;OrangUtan;;;;http://www.theguardian.com/environment/2013/sep/30/david-attenborough-orangutan-from-extinction;
007;A Bornean orangutan carries her young. Between 750 and 1,800 orangutan were killed in Kalimantan in the 12 months up to April 2008.;;03;OrangUtan;;;;http://www.theguardian.com/environment/2011/nov/27/orangutan-indonesia-endangered-species;
008;An orangutan in Kehje Sewen forest, Indonesia. The species has been threatened by deforestation caused by palm oil plantations.;;03;OrangUtan;;;;http://www.theguardian.com/environment/2013/oct/31/halloween-treats-fuelling-rainforest-destruction;
009;Deforestation to make way for palm oil plantations has threatened the biodiversity of Borneo, placing species such as the orangutan at risk.;;03;OrangUtan;;;;http://www.theguardian.com/sustainable-business/conserve-rainforests-palm-oil-demand;
010;Orangutans at the feeding ground in Tanjung Puting national park, Central Kalimantan. The park is threatened by palm oil expansion owned by PT ASMR concession, a subsidiary of Bumitama Gunajaya Agro Group.;;03;OrangUtan;;;;http://www.theguardian.com/environment/gallery/2014/feb/28/deforestation-of-kalimantan-rainforest-in-pictures;
011;Palm oil production is destroying orangutans' habitat in Malaysia, conservationists say.;;03;OrangUtan;;;;http://www.theguardian.com/environment/2011/jul/19/palm-oil-labelling-australia-bill;
012;A critically endangered orangutan in the Jambi rainforest in Sumatra.;;03;OrangUtan;;;;http://www.theguardian.com/environment/2014/aug/22/orangutan-experts-plead-for-australian-food-manufacturers-to-reject-palm-oil;
013;The United Nations recently, and boldly, declared that orangutans could face extinction in Borneo. Why? Because deforestation is ‘simply unsustainable'.;;03;OrangUtan;;;;http://www.greenpeace.org/international/en/news/Blogs/makingwaves/palm-oil-orangutan-POIG-Indonesia/blog/53866/;
014;Fight to save Indonesia's jungle corridors key for endangered orangutan;;03;OrangUtan;;;;http://www.reuters.com/article/2015/08/01/us-environment-orangutan-idUSKCN0Q50HN20150801;
015;Fight to save Indonesia's jungle corridors key for endangered orangutan;;03;OrangUtan;;;;http://www.reuters.com/article/2015/08/01/us-environment-orangutan-idUSKCN0Q50HN20150801;
016;Orangutans in Indonesia's Aceh forest may die out in weeks;;03;OrangUtan;;;;http://www.reuters.com/article/2012/03/28/us-indonesia-environment-idUSBRE82R0NK20120328;
017;New hope for orangutans despite threats of climate change and deforestation;;03;OrangUtan;;;;http://www.clickgreen.org.uk/research/trends/125434-new-hope-for-orangutans-despite-threats-of-climate-change-and-deforestation-.html;
018;The United Nations predicts that orangutans will be virtually eliminated in the wild within two decades if current deforestation trends continue.;;03;OrangUtan;;;;http://www.telegraph.co.uk/news/picturegalleries/picturesoftheday/11685543/Pictures-of-the-day-19-June-2015.html;
001;The Great Barrier Reef, Queensland, Australia. Economists found coral reef protection would be a particularly effective target in terms of environmental, economic and social benefits.;;04;CoralReef;;;;http://www.theguardian.com/sustainable-business/2015/aug/03/these-are-the-four-sdgs-we-need-to-agree-on-to-help-the-planet;windmills without fans, just like columns
002;Coral on Australia's Great Barrier Reef, which has now been added to Unesco's list of world heritage sites 'in danger'.;;04;CoralReef;;;;http://www.theguardian.com/commentisfree/2015/apr/12/observer-editorial-great-barrier-reef-destruction;windmills
003;Bleaching turns coral white and is caused by rising ocean temperatures.;;04;CoralReef;;;;http://www.theguardian.com/environment/2015/jul/07/six-percent-of-worlds-coral-could-be-lost-in-current-mass-bleaching-say-scientists;one windmill
004;A healthy coral reef such as this one provides shelter for huge numbers of animals, but more frequent bleaching events are threatening the resilience of many reefs and their capacity to recover.;;04;CoralReef;;;;http://www.theguardian.com/environment/2015/jul/07/scientists-say-warming-seas-could-kill-off-coral-reefs-in-pacific-atlantic-oceans;windmills in bright landscape
005;Leading coral reef scientists are calling for coalmining and port developments in Queensland to be scrapped.;;04;CoralReef;;;;http://www.theguardian.com/environment/2015/mar/23/great-barrier-reef-campaign-scientists-call-for-scrapping-of-coal-projects;solar park from high
006;Discarded fishing line tangled around coral on the Great Barrier Reef.;;04;CoralReef;;;;http://www.theguardian.com/environment/2015/jun/03/great-barrier-reef-coral-four-times-safer-in-no-take-fishing-reserves-study-shows;solar panels
007;Far northern Great Barrier Reef. Reefs around the world are threatened by climate change. A new study shows that some corals have the genes to adapt to warmer oceans.;;04;CoralReef;;;;http://www.theguardian.com/environment/2015/jun/27/planting-coral-could-save-great-barrier-reef-from-climate-change-say-scientists;person with solar panel on a roof
008;The Great Barrier Reef in Australia has lost more than half of its coral cover in the past 30 years.;;04;CoralReef;;;;http://www.theguardian.com/environment/2015/may/29/great-barrier-reef-shouldnt-be-on-in-danger-list-for-now-says-unesco;man with solar panels on a roof
009;In areas of the reef where fishing is allowed, there are not enough predators to keep smaller fish in check.;;04;CoralReef;;;;http://www.theguardian.com/environment/2015/apr/22/great-barrier-reef-at-risk-as-overfishing-disrupts-food-chain-study-finds;
010;Lady Musgrave Island in the Unesco-listed Great Barrier Reef marine park. Unesco will decide in June whether to list the reef as ‘in danger’.;;04;CoralReef;;;;http://www.theguardian.com/australia-news/2015/apr/06/coalition-plan-to-save-great-barrier-reef-is-weak-new-report-says;
011;An ‘in danger’ listing would place the reef in the same category as the polluted Everglades national park in the US.;;04;CoralReef;;;;http://www.theguardian.com/environment/2015/may/29/great-barrier-reef-unesco-to-release-draft-ruling-on-in-danger-listing;
012;A clownfish in a healthy coral environment. A new study has found their Great Barrier Reef habitat is under threat from floods, coastal agriculture and industry development;;04;CoralReef;;;;http://www.theguardian.com/environment/2015/jun/17/diseased-fish-confirm-damage-to-great-barrier-reef-ecosystem-say-scientists;
013;Restoring reefs - Fish that were driven away have returned since the birth of the reef regeneration project in 2001.;;04;CoralReef;;;;http://edition.cnn.com/2012/01/23/world/gallery/biorock-coral-regeneration/index.html;
014;Coral reef, Raja Ampat Island, Indonesia - The International Union for Conservation of Nature (IUCN) has published its annual Red List, which details threats to animals and plants. The 2012 report has assessed more than 60,000 species. Coral Reefs are among the most threatened organisms on Earth, with a third threatened with extinction. More than 275 million people are dependent on coral reefs for food, coastal protection and livelihoods, according to the IUCN.;;04;CoralReef;;;;http://edition.cnn.com/2012/06/19/world/gallery/iucn-red-list-2012/index.html;
015;They say the first way to treat a problem is to admit the problem exists. In that respect, the Australian government may be coming to terms with what it will take to turn around the worrying state of the Great Barrier Reef.;;04;CoralReef;;;;http://ourworld.unu.edu/en/environment-minister-greg-hunt-admits-great-barrier-reef-is-in-trouble;
016;Healthy habitats at depths of 30-120 metres on the Great Barrier Reef suggest deeper waters may provide a refuge for corals;;04;CoralReef;;;;http://www.theguardian.com/environment/2012/oct/26/deepwater-corals-great-barrier-reef;
017;Unesco’s world heritage committee will decide next year whether to place the Great Barrier Reef on its in-danger list.;;04;CoralReef;;;;http://www.theguardian.com/environment/2014/oct/27/great-barrier-reef-protection-plan-ignores-threat-climate-change;
001;Motorists have been warned that localised flooding could make travelling hazardous;;05;Flooding;;;;http://www.theguardian.com/uk-news/2015/aug/12/flood-warning-heavy-rain-forecast-england-wales-weather;
002;Vehicles left stranded on a flooded Interstate 45 in Houston, Texas. Major freeways in the area were impassable Tuesday morning.;;05;Flooding;;;;http://www.theguardian.com/us-news/2015/may/26/texas-storms-aftermath-flooding-power-outages;
003;The Colorado River in Wharton, Texas. At least 21 people have been killed across Texas after catastrophic flooding and tornadoes.;;05;Flooding;;;;http://www.theguardian.com/us-news/2015/may/30/texas-flooding-obama-signs-disaster-declaration-after-21-people-killed;
004;The floods in Malawi have displaced at least 174,000 people, sweeping away homes and claiming untold lives.;;05;Flooding;;;;http://www.theguardian.com/global-development/2015/jan/30/malawi-floods-grim-legacy-death-destruction-devastation;
005;The streets of Austin are flooded after days of heavy rain;;05;Flooding;;;;www.theguardian.com/us-news/gallery/2015/may/26/flash-floods-texas-destruction-in-pictures;
006;Parts of east central Texas were inundated by water after heavy rainfall turned highways into rivers that swept away bridges, cars and homes;;05;Flooding;;;;http://www.theguardian.com/us-news/2015/may/31/texas-floods-damage-missing-deaths;
007;Chilean national police help evacuate people affected by the overflow of the river Copiapo in the city of the same name.;;05;Flooding;;;;http://www.theguardian.com/world/2015/mar/27/floods-swamp-chiles-atacama-region;
008;Destruction caused by flooding on the outskirts of Blantyre. The south of Malawi has been declared a disaster zone.;;05;Flooding;;;;http://www.theguardian.com/global-development/2015/jan/14/malawi-flooding-torrential-rain-mozambique;
009;People cross a river with their belongings where a bridge once stood in Phaloni, southern Malawi, on 22 January. Heavy rains and floods have displaced 230,000 people in the southeastern African country.;;05;Flooding;;;;http://www.theguardian.com/global-development/2015/feb/10/malawi-floods-devastation-far-worse-than-first-thought;
010;Cleanup after Hurricane Sandy has proven costly for New York City – and climate change increases the odds of future flooding, say scientists.;;05;Flooding;;;;http://www.theguardian.com/environment/2015/jul/27/climate-change-triple-threat-flooding-new-york-los-angeles-boston;
011;Cars slow down while going through deep water on the 110 Freeway on Tuesday morning.;;05;Flooding;;;;www.latimes.com/local/california/la-me-0916-rain-20150916-story.html;
012;Rescuers try to help those stuck in a submerged car in Hildale, Utah.;;05;Flooding;;;;http://edition.cnn.com/2015/09/15/us/utah-arizona-flooding/index.html;
013;Shigeru Kikuchi attempted to drive along a flooded road but found himself stranded after his car became completely waterlogged.;;05;Flooding;;;;http://edition.cnn.com/2015/09/11/asia/japan-floods-eyewitness/index.html;
014;People look at a bridge which was washed away by floodwater in the state of Manipur, India on August 1, 2015. At least 178 have been killed in recent flooding, with an estimated 10 million affected across India.;;05;Flooding;;;;http://edition.cnn.com/2015/08/05/asia/flooding-asia-displaces-millions/index.html;
015;Yellow taxis and other vehicles wade through a flooded street in Kolkata, India, Sunday, Aug. 2, 2015. Parts of the city were flooded after the Ganges river rose following monsoon rains.;;05;Flooding;;;;http://edition.cnn.com/2015/08/05/asia/flooding-asia-displaces-millions/index.html;
016;Indian villagers wade through floodwater in Bherampur Block, Murshidabad. In Gujarat, India's westernmost state, 71 people have died.;;05;Flooding;;;;http://edition.cnn.com/2015/08/05/asia/flooding-asia-displaces-millions/index.html;
017;Heavy floods cause havoc in Japan. People and dogs wait for rescuers in Joso on September 10.;;05;Flooding;;;;http://edition.cnn.com/2015/09/10/asia/japan-floods/index.html;
001;This photo shows the dried up lake bed of Huntington Lake which at only 30% capacity as California is gripped by its worst drought in over a millennium.;;06;Drought;;;;http://www.theguardian.com/environment/climate-consensus-97-per-cent/2014/dec/08/california-just-had-its-worst-drought-in-over-1200-years;
002;A concrete block that was used to moor a boat sits in dry cracked earth that used to be the bottom of Lake McClure in La Grange, California.;;06;Drought;;;;http://www.theguardian.com/us-news/2015/mar/29/california-drought-heat-wave-climate-change;
003;Projections for water stress in 2020, 2030 and 2040 indicate that the global picture is likely going to get worse.;;06;Drought;;;;http://www.theguardian.com/global-development-professionals-network/2015/jun/12/decade-of-drought-a-global-tour-of-seven-recent-water-crises;
004;A man and a boy try to fish while standing on the dry shores of the almost empty La Plata reservoir in Toa Alta, Puerto Rico.;;06;Drought;;;;http://www.theguardian.com/environment/2015/jun/24/caribbean-swelters-drought-in-five-years;
005;Rock bottom: one of California’s dried-out reservoirs;;06;Drought;;;;http://www.theguardian.com/environment/2014/dec/14/-sp-american-drought-california-crisis;
006;A North Korean boy works in a field of a collective farm in the South Hwanghae province. Potato, wheat and barley harvests were at risk of being cut by up to 50% in drought-hit areas.;;06;Drought;;;;www.theguardian.com/world/2015/jun/19/north-korea-fears-famine-as-drought-halves-food-production-says-un;
007;California’s farmers are battling an ongoing drought.;;06;Drought;;;;http://www.theguardian.com/us-news/2015/jun/12/california-orders-largest-water-cuts-farmers;
008;Every year, we lose 24 billion tons of fertile soil to erosion and 12 million hectares of land to desertification and drought.  This threatens the lives and livelihoods of 1.5 billion people now.;;06;Drought;;;;http://ourworld.unu.edu/en/to-fight-desertification-lets-manage-our-land-better;
009;Atibainha dam, part of the Cantareira reservoir, one of the main water suppliers in Sao Paulo state. The reservoir is below 17% of capacity.;;06;Drought;;;;http://www.latimes.com/world/brazil/la-fg-brazil-drought-20150820-story.html;
010;Drought to cut India's summer-sown corn output by 15 percent;;06;Drought;;;;http://www.reuters.com/article/2015/09/14/india-corn-output-idUSKCN0RE18720150914;
011;Global economic losses from drought to top $8 billion: report;;06;Drought;;;;http://www.reuters.com/article/2015/09/03/us-drought-loss-report-idUSKCN0R31QX20150903;
012;When a drought occurs in Indonesia, there could be flooding later in Kenya. But what are the linkages between these two disasters?;;06;Drought;;;;http://ourworld.unu.edu/en/indonesia-drought-kenya-flooding;
013;"""Rainfall in some areas is expected to decline by as much as 50% by the middle of this century, rendering many local livelihoods unviable and dramatically raising the risk of chronic hunger.""";;06;Drought;;;;http://ourworld.unu.edu/en/environmental-migrants-more-than-numbers;
014;NASA Bombshell: Global Groundwater Crisis Threatens Food Supplies and Security;;06;Drought;;;;http://ourworld.unu.edu/en/nasa-bombshell-global-groundwater-crisis-threatens-food-supplies-and-security;
