ID;Caption;Topic;SubtopicID;Subtopic;Direction;Visual Entities;Relations;Url
001;A lot of windmills in front of the sun going down;Sustainable Energy;01;Windmill;;;;
002;Windmills standing in a semi circle with a dark red sky in the background surrounded by foggy air.;Sustainable Energy;01;Windmill;;;;
003;A crane assembling a new windmill. The column already stands, the fans are on the ground;Sustainable Energy;01;Windmill;;;;
004;Windmills with the sun going down in front of a red sky;Sustainable Energy;01;Windmill;;;;
005;New windmills without fans on a moon-like ground.;Sustainable Energy;01;Windmill;;;;
006;Windmills on a field with straw rolls;Sustainable Energy;01;Windmill;Positive Effects;;;
007;Near view of a windmill;Sustainable Energy;01;Windmill;;;;
008;In the front there is a landscape with a river and fields, in the back there are windmills on a hill;Sustainable Energy;01;Windmill;Positive Effects;;;
009;Windmills next to a coast line;;01;Windmill;;;;
010;Windmills in a wheat field;;01;Windmill;;;;
011;Sunset with windmills;;01;Windmill;;;;
012;Windmills in a row on grass with grazing cows;;01;Windmill;;;;
013;Windmills on a field;;01;Windmill;;;;
014;Two windmills in front of gathering storm;;01;Windmill;;;;
015;City skyline with windmill;;01;Windmill;;;;
001;A helicopter view of a solar park in between of green fields;;02;SolarPanel;;;;
002;Close view of a solar panels;;02;SolarPanel;spread understanding of sustainability;;;
003;A man installs solar panels on a house roof. Two solar panels have already been fixed.;;02;SolarPanel;subsidies;;;
004;A man installs solar panels on a house roof. Two solar panels have already been fixed.;;02;SolarPanel;Big energy utilities are attacking solar energy;;;
005;One solar panel on a straw roof of a house on a beach next to a palm tree;;02;SolarPanel;solar power for africa;;;
006;Concave solar panels as a part of a solar park;;02;SolarPanel;;;;
007;A house with red bricks and solar panels on its roof;;02;SolarPanel;;;;
008;An alley like view of vertical solar panels;;02;SolarPanel;;;;
009;A man is cleaning a huge assembled solar field. The sky and clouds are reflected on their surfaces;;02;SolarPanel;;;;
010;Barack Obama in front of solar panels;;02;SolarPanel;;;;
011;Side view of solar panels in front of sunset;;02;SolarPanel;;;;
012;Solar panels in front of a white building. A green bush is on the right side. ;;02;SolarPanel;;;;
013;Near view of solar cells;;02;SolarPanel;;;;
014;The sun is shining on a field with solar panels ;;02;SolarPanel;;;;
015;A man walks across a roof and shoulders a solar panel ;;02;SolarPanel;;;;
016;A row of concave formed solar panels to get the best sun profit;;02;SolarPanel;;;;
017;Several rows of solar cells on a meadow. The rows lead to a house.  ;;02;SolarPanel;;;;
001;two orangutan infants are hugging each other;;03;OrangUtan;;;;
002;An elderly orangutan sits in a tree surrounded by branches and leaves;;03;OrangUtan;;;;
003;An orangutan baby sits on the back of its mother, holding the arms around her neck;;03;OrangUtan;;;;
004;In between vegetation an orangutan sits and looks away from the camera;;03;OrangUtan;;;;
005;An orangutan climbing between two trees has its baby at the side.;;03;OrangUtan;;;;
006;An elderly orangutan sits in a tree surrounded by branches and leaves;;03;OrangUtan;;;;
007;An orangutan baby sits on the back of its mother, holding the arms around her neck;;03;OrangUtan;;;;
008;An orangutan sits on a bench of a tree holding its arms in an upright, but relaxing position;;03;OrangUtan;;;;
009;Two orangutans are hugging each other on an open field. A logged tree in the background.;;03;OrangUtan;;;;
010;A mother orangutan on one tree, motivates her baby to jump from the other tree into her arms;;03;OrangUtan;;;;
011;An orangutan hanging in a tree eats a banana;;03;OrangUtan;;;;
012;In the center of the image there is an orangutan holding a tree looking at the camera. The orangutan is surrounded  by small trees and green leaves;;03;OrangUtan;;;;
013;Orangutan orphans in a pushcart on a green meadow. A person stands in the background.;;03;OrangUtan;;;;
014;A male orangutan waits near a feeding station at Camp Leakey in Tanjung Puting National Park in Central Kalimantan province, Indonesia in this June 15, 2015.;;03;OrangUtan;;;;
015;A female orangutan holds her baby while climbing a tree near a feeding station at Camp Leakey in Tanjung Puting National Park in Central Kalimantan province, Indonesia in this taken June 14, 2015 file photo.;;03;OrangUtan;;;;
